;Группа;Артикул;Номенклатура;Модели;ЦЕНА;;
;CHEVROLET;96471771;Барабан тормозной;AVEO;1690;;2197
;CHEVROLET;96333185;Барабан тормозной;REZZO;2070;;2691
;CHEVROLET;96471783;Барабан тормозной со ступицей +абс;AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96386901;Барабан тормозной со ступицей +абс;AVEO;3060;;3978
;CHEVROLET;96334828;Бачок вакуумный;LACCT 1,6L;260;;338
;CHEVROLET;96304394;Бачок г/у руля;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96408583;Бачок г/у руля;LAN;610;;793
;CHEVROLET;96451797;Бачок г/у руля;LACTT;610;;793
;CHEVROLET;96413748;Бачок г/у руля;AVEO;630;;819
;CHEVROLET;96543077;Бачок омывателя;AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96550797;Бачок омывателя;LACTT;850;;1105
;CHEVROLET;96650703;Бачок омывателя (седан);AVEO-2;550;;715
;CHEVROLET;96543076;Бачок омывателя (хэчбэк);AVEO;550;;715
;CHEVROLET;96550798;Бачок омывателя 4H/5W;LACTT;930;;1209
;CHEVROLET;96286324;Бачок омывателя 4N;LAN;520;;676
;CHEVROLET;96182279;Бачок расширительный;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96536545;Бачок расширительный;AVEO;450;;585
;CHEVROLET;96813425;Бачок расширительный;LACTT;340;;442
;CHEVROLET;96817343;Бачок расширительный;AVEO;420;;546
;CHEVROLET;96553255;Бачок расширительный DOHC;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96264294;Бачок стеклоомывателя;REZZO;1000;;1300
;CHEVROLET;10452345;Бендикс стартера;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96270325;Блок предохранителей;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96650834;Блок предохранителей;AVEO;310;;403
;CHEVROLET;96539834;Блок предохранителей;AVEO;890;;1157
;CHEVROLET;96435547;Блок управления двигателем;LACTT;20900;;27170
;CHEVROLET;96435559;Блок управления двигателем;AVEO;20900;;27170
;CHEVROLET;96220438;Блок управления подушкой безопастронсти;LAN;9760;;12688
;CHEVROLET;96233406;Блок управления стеклопод (на центральн консоли);LAN;500;;650
;CHEVROLET;96246806;Боковая крышка передней панели левая;LAN;150;;195
;CHEVROLET;96246808;Боковая крышка передней панели правая;LAN;150;;195
;CHEVROLET;96404743;Боковина крыши левая (седан);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96410774;Боковина крыши левая (седан);AVEO;4300;;5590
;CHEVROLET;96617553;Боковина крыши левая (хечбэк);LACTT;5600;;7280
;CHEVROLET;96410760;Боковина крыши левая (хечбэк);AVEO;4300;;5590
;CHEVROLET;96248534;Боковина крыши левая 4N;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96462963;Боковина крыши левая 4N;AVEO-2;7260;;9438
;CHEVROLET;96404744;Боковина крыши правая (седан);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96410775;Боковина крыши правая (седан);AVEO-1;4300;;5590
;CHEVROLET;96617554;Боковина крыши правая (хечбэк);LACTT;Уточняйте наличие;;#ЗНАЧ!
